"id","data","target"
18,"[[391, 252, 69.17363739013672], [271, 198, 8.860122680664062], [271, 198, 8.860122680664062], [271, 198, 8.860122680664062], [271, 198, 8.860122680664062], [273, 176, 9.013978004455566], [273, 176, 9.013978004455566], [273, 176, 9.013978004455566], [273, 176, 9.013978004455566], [273, 176, 9.013978004455566]]",48
19,"[[427, 225, 60.58268737792969], [270, 202, 9.34087085723877], [270, 202, 9.34087085723877], [270, 202, 9.34087085723877], [270, 202, 9.34087085723877], [270, 202, 9.34087085723877], [270, 202, 9.34087085723877], [270, 202, 9.34087085723877], [270, 202, 9.34087085723877], [272, 158, 9.013978004455566]]",20
20,"[[262, 260, 30.041736602783203], [271, 204, 8.875432968139648], [271, 204, 8.875432968139648], [271, 204, 8.875432968139648], [271, 204, 8.875432968139648], [271, 204, 8.875432968139648], [271, 204, 8.875432968139648], [271, 204, 8.875432968139648], [272, 182, 8.860122680664062], [272, 182, 8.860122680664062]]",48
21,"[[405, 225, 60.25373077392578], [252, 196, 8.397981643676758], [252, 196, 8.397981643676758], [252, 196, 8.397981643676758], [253, 176, 8.860122680664062], [253, 176, 8.860122680664062], [253, 176, 8.860122680664062], [253, 176, 8.860122680664062], [253, 176, 8.860122680664062], [253, 176, 8.860122680664062]]",88
22,"[[355, 317, 44.8890266418457], [238, 214, 8.077847480773926], [238, 214, 8.077847480773926], [238, 214, 8.077847480773926], [238, 214, 8.077847480773926], [238, 214, 8.077847480773926], [243, 151, 8.077847480773926], [243, 151, 8.077847480773926], [243, 151, 8.077847480773926], [243, 151, 8.077847480773926]]",70
23,"[[440, 225, 167.74172973632812], [268, 207, 8.860122680664062], [268, 207, 8.860122680664062], [268, 207, 8.860122680664062], [268, 207, 8.860122680664062], [268, 207, 8.860122680664062], [268, 207, 8.860122680664062], [268, 207, 8.860122680664062], [268, 207, 8.860122680664062], [268, 207, 8.860122680664062]]",50
24,"[[349, 206, 39.373313903808594], [273, 210, 7.905794143676758], [273, 210, 7.905794143676758], [273, 210, 7.905794143676758], [274, 192, 7.905794143676758], [274, 192, 7.905794143676758], [274, 192, 7.905794143676758], [274, 192, 7.905794143676758], [274, 192, 7.905794143676758], [274, 192, 7.905794143676758]]",92
25,"[[271, 426, 33.270477294921875], [271, 216, 7.762187480926514], [271, 216, 7.762187480926514], [271, 216, 7.762187480926514], [271, 216, 7.762187480926514], [271, 216, 7.762187480926514], [271, 216, 7.762187480926514], [272, 195, 9.013978004455566], [272, 195, 9.013978004455566], [272, 195, 9.013978004455566]]",59
26,"[[392, 229, 64.54375457763672], [271, 209, 8.381627082824707], [271, 209, 8.381627082824707], [271, 209, 8.381627082824707], [271, 209, 8.381627082824707], [271, 209, 8.381627082824707], [271, 209, 8.381627082824707], [271, 209, 8.381627082824707], [271, 209, 8.381627082824707], [271, 209, 8.381627082824707]]",73
27,"[[293, 427, 38.774932861328125], [273, 209, 8.544103622436523], [273, 209, 8.544103622436523], [273, 209, 8.544103622436523], [273, 209, 8.544103622436523], [275, 189, 8.381627082824707], [275, 189, 8.381627082824707], [275, 189, 8.381627082824707], [277, 169, 8.276573181152344], [277, 169, 8.276573181152344]]",77
