"id","data","target"
23,"[[286, 244, 8.860122680664062], [286, 244, 8.860122680664062], [286, 244, 8.860122680664062], [289, 176, 9.823541641235352], [289, 176, 9.823541641235352], [291, 156, 9.486932754516602], [291, 156, 9.486932754516602], [291, 156, 9.486932754516602], [292, 138, 9.65670394897461], [292, 138, 9.65670394897461]]",50
24,"[[286, 241, 7.905794143676758], [286, 241, 7.905794143676758], [286, 241, 7.905794143676758], [286, 241, 7.905794143676758], [286, 241, 7.905794143676758], [290, 188, 9.486932754516602], [290, 188, 9.486932754516602], [290, 188, 9.486932754516602], [290, 188, 9.486932754516602], [293, 163, 9.962529182434082]]",0
25,"[[301, 235, 8.276573181152344], [301, 235, 8.276573181152344], [311, 184, 8.544103622436523], [311, 184, 8.544103622436523], [311, 184, 8.544103622436523], [311, 184, 8.544103622436523], [311, 184, 8.544103622436523], [320, 163, 8.856033325195312], [320, 163, 8.856033325195312], [320, 163, 8.856033325195312]]",100
26,"[[283, 254, 8.381627082824707], [283, 254, 8.381627082824707], [283, 254, 8.381627082824707], [283, 234, 8.860122680664062], [283, 234, 8.860122680664062], [286, 180, 8.276573181152344], [286, 180, 8.276573181152344], [286, 180, 8.276573181152344], [286, 180, 8.276573181152344], [287, 167, 8.381627082824707]]",100
27,"[[279, 231, 8.381627082824707], [279, 231, 8.381627082824707], [279, 231, 8.381627082824707], [279, 231, 8.381627082824707], [279, 231, 8.381627082824707], [279, 180, 9.34087085723877], [279, 180, 9.34087085723877], [279, 158, 9.486932754516602], [279, 158, 9.486932754516602], [279, 158, 9.486932754516602]]",37
28,"[[267, 241, 8.381627082824707], [267, 241, 8.381627082824707], [267, 241, 8.381627082824707], [272, 195, 9.962529182434082], [272, 195, 9.962529182434082], [274, 172, 10.12432861328125], [274, 172, 10.12432861328125], [274, 172, 10.12432861328125], [274, 172, 10.12432861328125], [274, 172, 10.12432861328125]]",45
29,"[[269, 253, 8.544103622436523], [269, 253, 8.544103622436523], [269, 253, 8.544103622436523], [269, 253, 8.544103622436523], [271, 233, 9.013978004455566], [271, 233, 9.013978004455566], [271, 233, 9.013978004455566], [271, 233, 9.013978004455566], [271, 233, 9.013978004455566], [271, 233, 9.013978004455566]]",73
30,"[[273, 243, 8.732224464416504], [273, 243, 8.732224464416504], [273, 243, 8.732224464416504], [273, 243, 8.732224464416504], [288, 182, 9.394247055053711], [288, 182, 9.394247055053711], [288, 182, 9.394247055053711], [288, 182, 9.394247055053711], [288, 182, 9.394247055053711], [288, 182, 9.394247055053711]]",50
31,"[[262, 218, 9.013978004455566], [262, 218, 9.013978004455566], [262, 218, 9.013978004455566], [262, 218, 9.013978004455566], [265, 198, 8.544103622436523], [265, 198, 8.544103622436523], [268, 179, 8.077847480773926], [268, 179, 8.077847480773926], [268, 179, 8.077847480773926], [272, 161, 8.090311050415039]]",95
32,"[[261, 232, 8.544103622436523], [261, 232, 8.544103622436523], [261, 232, 8.544103622436523], [262, 210, 8.544103622436523], [262, 210, 8.544103622436523], [262, 210, 8.544103622436523], [262, 210, 8.544103622436523], [262, 188, 8.381627082824707], [262, 188, 8.381627082824707], [263, 168, 8.095780372619629]]",75
33,"[[259, 243, 8.544103622436523], [259, 243, 8.544103622436523], [259, 243, 8.544103622436523], [259, 243, 8.544103622436523], [259, 243, 8.544103622436523], [259, 243, 8.544103622436523], [265, 197, 8.547065734863281], [265, 197, 8.547065734863281], [265, 197, 8.547065734863281], [265, 197, 8.547065734863281]]",57
34,"[[241, 246, 9.192488670349121], [241, 246, 9.192488670349121], [241, 246, 9.192488670349121], [244, 222, 9.962529182434082], [244, 222, 9.962529182434082], [247, 197, 10.12432861328125], [247, 197, 10.12432861328125], [247, 197, 10.12432861328125], [247, 197, 10.12432861328125], [247, 197, 10.12432861328125]]",0
35,"[[251, 246, 7.905794143676758], [251, 246, 7.905794143676758], [252, 226, 8.381627082824707], [252, 226, 8.381627082824707], [252, 226, 8.381627082824707], [254, 205, 8.381627082824707], [254, 205, 8.381627082824707], [254, 205, 8.381627082824707], [254, 205, 8.381627082824707], [254, 205, 8.381627082824707]]",74
36,"[[254, 239, 8.077847480773926], [254, 239, 8.077847480773926], [254, 239, 8.077847480773926], [254, 239, 8.077847480773926], [254, 239, 8.077847480773926], [261, 197, 9.394247055053711], [261, 197, 9.394247055053711], [265, 178, 9.436748504638672], [265, 178, 9.436748504638672], [265, 178, 9.436748504638672]]",77
37,"[[261, 219, 9.486932754516602], [261, 219, 9.486932754516602], [264, 197, 9.65670394897461], [264, 197, 9.65670394897461], [264, 197, 9.65670394897461], [264, 197, 9.65670394897461], [268, 176, 9.65670394897461], [268, 176, 9.65670394897461], [268, 176, 9.65670394897461], [268, 176, 9.65670394897461]]",75
38,"[[256, 238, 7.905794143676758], [256, 238, 7.905794143676758], [256, 238, 7.905794143676758], [257, 215, 9.013978004455566], [257, 215, 9.013978004455566], [259, 192, 9.013978004455566], [259, 192, 9.013978004455566], [259, 192, 9.013978004455566], [261, 170, 9.192488670349121], [261, 170, 9.192488670349121]]",50
39,"[[245, 230, 9.013978004455566], [245, 230, 9.013978004455566], [245, 230, 9.013978004455566], [245, 230, 9.013978004455566], [245, 230, 9.013978004455566], [252, 185, 8.732224464416504], [252, 185, 8.732224464416504], [252, 185, 8.732224464416504], [255, 163, 8.944372177124023], [255, 163, 8.944372177124023]]",50
40,"[[260, 243, 8.544103622436523], [260, 243, 8.544103622436523], [260, 243, 8.544103622436523], [262, 221, 8.544103622436523], [262, 221, 8.544103622436523], [266, 198, 9.013978004455566], [266, 198, 9.013978004455566], [266, 198, 9.013978004455566], [269, 177, 8.544103622436523], [269, 177, 8.544103622436523]]",74
41,"[[242, 247, 7.762187480926514], [242, 247, 7.762187480926514], [243, 225, 8.276573181152344], [243, 225, 8.276573181152344], [246, 203, 8.077847480773926], [246, 203, 8.077847480773926], [246, 203, 8.077847480773926], [246, 203, 8.077847480773926], [248, 182, 8.090300559997559], [248, 182, 8.090300559997559]]",50
42,"[[257, 236, 8.381627082824707], [257, 236, 8.381627082824707], [258, 216, 7.905794143676758], [258, 216, 7.905794143676758], [260, 197, 7.905794143676758], [260, 197, 7.905794143676758], [260, 197, 7.905794143676758], [261, 179, 8.077847480773926], [261, 179, 8.077847480773926], [261, 179, 8.077847480773926]]",100
